ID	Chr	Gene	Start	Stop	n_introns	exon_breakpoints
YAL013W	Chr1	DEP1	129270	130487	0	129270_130487
YAL014C	Chr1	SYN8	128252	129019	0	128252_129019
YAL015C	Chr1	NTG1	126903	128102	0	126903_128102
YAL016C-A	Chr1	YAL016C-A	124755	125069	0	124755_125069
YAL016C-B	Chr1	YAL016C-B	124307	124492	0	124307_124492
YAL016W	Chr1	TPD3	124879	126786	0	124879_126786
YAL017W	Chr1	PSK1	120225	124295	0	120225_124295
YAL018C	Chr1	LDS1	118564	119541	0	118564_119541
YAL019W	Chr1	FUN30	114919	118314	0	114919_118314
YAL019W-A	Chr1	YAL019W-A	114250	114819	0	114250_114819
YAL020C	Chr1	ATS1	113614	114615	0	113614_114615
YAL021C	Chr1	CCR4	110846	113359	0	110846_113359
YAL022C	Chr1	FUN26	108877	110430	0	108877_110430
YAL023C	Chr1	PMT2	106272	108551	0	106272_108551
YAL024C	Chr1	LTE1	101565	105872	0	101565_105872
YAL025C	Chr1	MAK16	100225	101145	0	100225_101145
YAL026C	Chr1	DRS2	95630	99697	0	95630_99697
YAL026C-A	Chr1	YAL026C-A	95386	95823	0	95386_95823
YAL027W	Chr1	SAW1	94687	95472	0	94687_95472
YAL028W	Chr1	FRT2	92900	94486	0	92900_94486
YAL029C	Chr1	MYO4	87855	92270	0	87855_92270
YAL030W	Chr1	SNC1	87286	87752	1	87286_87387_87501_87752
YAL031C	Chr1	GIP4	84749	87031	0	84749_87031
YAL031W-A	Chr1	YAL031W-A	84669	84977	0	84669_84977
YAL032C	Chr1	PRP45	83335	84474	0	83335_84474
YAL033W	Chr1	POP5	82706	83227	0	82706_83227
YAL034C	Chr1	FUN19	80710	81951	0	80710_81951
YAL034C-B	Chr1	YAL034C-B	79489	79842	0	79489_79842
YAL034W-A	Chr1	MTW1	79718	80587	0	79718_80587
YAL035W	Chr1	FUN12	76427	79435	0	76427_79435
YAL036C	Chr1	RBG1	75043	76152	0	75043_76152
YAL037C-A	Chr1	YAL037C-A	73426	73518	0	73426_73518
YAL037C-B	Chr1	YAL037C-B	72326	73300	0	72326_73300
YAL037W	Chr1	YAL037W	74020	74823	0	74020_74823
YAL038W	Chr1	CDC19	71786	73288	0	71786_73288
YAL039C	Chr1	CYC3	68716	69525	0	68716_69525
YAL040C	Chr1	CLN3	65778	67520	0	65778_67520
YAL041W	Chr1	CDC24	62840	65404	0	62840_65404
YAL042C-A	Chr1	YAL042C-A	61231	61608	0	61231_61608
YAL042W	Chr1	ERV46	61316	62563	0	61316_62563
YAL043C	Chr1	PTA1	58695	61052	0	58695_61052
YAL044C	Chr1	GCV3	57950	58462	0	57950_58462
YAL044W-A	Chr1	YAL044W-A	57518	57850	0	57518_57850
YAL045C	Chr1	YAL045C	57488	57796	0	57488_57796
YAL046C	Chr1	AIM1	57029	57385	0	57029_57385
YAL047C	Chr1	SPC72	54989	56857	0	54989_56857
YAL047W-A	Chr1	YAL047W-A	54584	54913	0	54584_54913
YAL048C	Chr1	GEM1	52801	54789	0	52801_54789
YAL049C	Chr1	AIM2	51855	52595	0	51855_52595
YAL051W	Chr1	OAF1	48564	51707	0	48564_51707
YAL053W	Chr1	FLC2	45899	48250	0	45899_48250
YAL054C	Chr1	ACS1	42881	45022	0	42881_45022
YAL055W	Chr1	PEX22	42177	42719	0	42177_42719
YAL056C-A	Chr1	YAL056C-A	38696	39046	0	38696_39046
YAL056W	Chr1	GPB2	39259	41901	0	39259_41901
YAL058W	Chr1	CNE1	37464	38972	0	37464_38972
YAL059C-A	Chr1	YAL059C-A	36496	36918	0	36496_36918
YAL059W	Chr1	ECM1	36509	37147	0	36509_37147
YAL060W	Chr1	BDH1	35155	36303	0	35155_36303
YAL061W	Chr1	BDH2	33448	34701	0	33448_34701
YAL062W	Chr1	GDH3	31567	32940	0	31567_32940
YAL063C	Chr1	FLO9	24000	27968	0	24000_27968
YAL063C-A	Chr1	YAL063C-A	22395	22685	0	22395_22685
YAL064C-A	Chr1	TDA8	13363	13743	0	13363_13743
YAL064W	Chr1	YAL064W	21566	21850	0	21566_21850
YAL064W-B	Chr1	YAL064W-B	12046	12426	0	12046_12426
YAL065C	Chr1	YAL065C	11565	11951	0	11565_11951
YAL066W	Chr1	YAL066W	10091	10399	0	10091_10399
YAL067C	Chr1	SEO1	7235	9016	0	7235_9016
YAL067W-A	Chr1	YAL067W-A	2480	2707	0	2480_2707
YAL068C	Chr1	PAU8	1807	2169	0	1807_2169
YAL068W-A	Chr1	YAL068W-A	538	792	0	538_792
YAL069W	Chr1	YAL069W	335	649	0	335_649
YAR002C-A	Chr1	ERP1	154065	154724	0	154065_154724
YAR002W	Chr1	NUP60	152257	153876	0	152257_153876
YAR003W	Chr1	SWD1	155005	156285	0	155005_156285
YAR007C	Chr1	RFA1	156754	158619	0	156754_158619
YAR008W	Chr1	SEN34	158966	159793	0	158966_159793
YAR009C	Chr1	YAR009C	160597	164187	0	160597_164187
YAR010C	Chr1	YAR010C	164544	165866	0	164544_165866
YAR014C	Chr1	BUD14	166742	168871	0	166742_168871
YAR015W	Chr1	ADE1	169375	170295	0	169375_170295
YAR018C	Chr1	KIN3	170396	171703	0	170396_171703
YAR019C	Chr1	CDC15	172211	175135	0	172211_175135
YAR019W-A	Chr1	YAR019W-A	174998	175330	0	174998_175330
YAR020C	Chr1	PAU7	176856	177023	0	176856_177023
YAR023C	Chr1	YAR023C	179281	179820	0	179281_179820
YAR027W	Chr1	UIP3	183770	184477	0	183770_184477
YAR028W	Chr1	YAR028W	184892	185596	0	184892_185596
YAR029W	Chr1	YAR029W	186321	186545	0	186321_186545
YAR030C	Chr1	YAR030C	186512	186853	0	186512_186853
YAR031W	Chr1	PRM9	186836	187732	0	186836_187732
YAR033W	Chr1	MST28	188107	188811	0	188107_188811
YAR035C-A	Chr1	YAR035C-A	192337	192417	0	192337_192417
YAR035W	Chr1	YAT1	190193	192256	0	190193_192256
YAR042W	Chr1	SWH1	192619	196185	0	192619_196185
YAR047C	Chr1	YAR047C	201467	201787	0	201467_201787
YAR050W	Chr1	FLO1	203403	208016	0	203403_208016
YAR053W	Chr1	YAR053W	208367	208663	0	208367_208663
YAR060C	Chr1	YAR060C	217157	217492	0	217157_217492
YAR064W	Chr1	YAR064W	220198	220497	0	220198_220497
YAR066W	Chr1	YAR066W	221049	221660	0	221049_221660
YAR068W	Chr1	YAR068W	222406	222891	0	222406_222891
YAR069C	Chr1	YAR069C	224011	224304	0	224011_224304
YAR070C	Chr1	YAR070C	224563	224862	0	224563_224862
YAR071W	Chr1	PHO11	225460	226863	0	225460_226863
YAR073W	Chr1	IMD1	227742	228953	0	227742_228953
YAR075W	Chr1	YAR075W	228844	229317	0	228844_229317
YBL001C	Chr2	ECM15	237153	237467	0	237153_237467
YBL002W	Chr2	HTB2	236492	236887	0	236492_236887
YBL003C	Chr2	HTA2	235394	235792	0	235394_235792
YBL004W	Chr2	UTP20	227636	235117	0	227636_235117
YBL005W	Chr2	PDR3	217470	220400	0	217470_220400
YBL005W-A	Chr2	YBL005W-A	221330	222652	0	221330_222652
YBL005W-B	Chr2	YBL005W-B	221330	226598	1	221330_222634_222636_226598
YBL006C	Chr2	LDB7	216587	217129	0	216587_217129
YBL006W-A	Chr2	YBL006W-A	216711	216860	0	216711_216860
YBL007C	Chr2	SLA1	212632	216366	0	212632_216366
YBL008W	Chr2	HIR1	209653	212175	0	209653_212175
YBL008W-A	Chr2	YBL008W-A	209409	209648	0	209409_209648
YBL009W	Chr2	ALK2	207194	209224	0	207194_209224
YBL010C	Chr2	YBL010C	206107	206949	0	206107_206949
YBL011W	Chr2	SCT1	203538	205817	0	203538_205817
YBL012C	Chr2	YBL012C	203406	203807	0	203406_203807
YBL013W	Chr2	FMT1	202056	203261	0	202056_203261
YBL014C	Chr2	RRN6	199064	201748	0	199064_201748
YBL015W	Chr2	ACH1	194122	195702	0	194122_195702
YBL016W	Chr2	FUS3	192451	193512	0	192451_193512
YBL017C	Chr2	PEP1	186844	191583	0	186844_191583
YBL018C	Chr2	POP8	185998	186474	1	185998_186352_186428_186474
YBL019W	Chr2	APN2	184353	185915	0	184353_185915
YBL020W	Chr2	RFT1	182401	184125	0	182401_184125
YBL021C	Chr2	HAP3	181660	182094	0	181660_182094
YBL022C	Chr2	PIM1	177874	181275	0	177874_181275
YBL023C	Chr2	MCM2	174920	177526	0	174920_177526
YBL024W	Chr2	NCL1	172534	174588	0	172534_174588
YBL025W	Chr2	RRN10	171481	171918	0	171481_171918
YBL026W	Chr2	LSM2	170623	171038	1	170623_170676_170805_171038
YBL027W	Chr2	RPL19B	168423	169376	1	168423_168424_168809_169376
YBL028C	Chr2	YBL028C	167518	167838	0	167518_167838
YBL029C-A	Chr2	YBL029C-A	164488	164772	0	164488_164772
YBL029W	Chr2	YBL029W	166134	167264	0	166134_167264
YBL030C	Chr2	PET9	163041	163997	0	163041_163997
YBL031W	Chr2	SHE1	161699	162715	0	161699_162715
YBL032W	Chr2	HEK2	160184	161329	0	160184_161329
YBL033C	Chr2	RIB1	158656	159693	0	158656_159693
YBL034C	Chr2	STU1	153848	158389	0	153848_158389
YBL035C	Chr2	POL12	151493	153610	0	151493_153610
YBL036C	Chr2	YBL036C	150447	151220	0	150447_151220
YBL037W	Chr2	APL3	147209	150286	0	147209_150286
YBL038W	Chr2	MRPL16	146187	146885	0	146187_146885
YBL039C	Chr2	URA7	143989	145728	0	143989_145728
YBL039C-A	Chr2	YBL039C-A	144948	145031	0	144948_145031
YBL039W-B	Chr2	YBL039W-B	143393	143572	0	143393_143572
YBL040C	Chr2	ERD2	142112	142868	1	142112_142749_142847_142868
YBL041W	Chr2	PRE7	141247	141972	0	141247_141972
YBL042C	Chr2	FUI1	138341	140260	0	138341_140260
YBL043W	Chr2	ECM13	136688	137461	0	136688_137461
YBL044W	Chr2	YBL044W	135998	136366	0	135998_136366
YBL045C	Chr2	COR1	134143	135516	0	134143_135516
YBL046W	Chr2	PSY4	132424	133749	0	132424_133749
YBL047C	Chr2	EDE1	127895	132040	0	127895_132040
YBL048W	Chr2	RRT1	127299	127610	0	127299_127610
YBL049W	Chr2	MOH1	126828	127244	0	126828_127244
YBL050W	Chr2	SEC17	125125	126119	1	125125_125154_125271_126119
YBL051C	Chr2	PIN4	122753	124759	0	122753_124759
YBL052C	Chr2	SAS3	119379	121874	0	119379_121874
YBL053W	Chr2	YBL053W	119335	119709	0	119335_119709
YBL054W	Chr2	TOD6	117589	119166	0	117589_119166
YBL055C	Chr2	YBL055C	115573	116829	0	115573_116829
YBL056W	Chr2	PTC3	113762	115168	0	113762_115168
YBL057C	Chr2	PTH2	112801	113427	0	112801_113427
YBL058W	Chr2	SHP1	111437	112708	0	111437_112708
YBL059C-A	Chr2	CMC2	110125	110539	1	110125_110420_110506_110539
YBL059W	Chr2	YBL059W	110594	111244	1	110594_110879_110949_111244
YBL060W	Chr2	YEL1	107932	109995	0	107932_109995
YBL061C	Chr2	SKT5	105316	107406	0	105316_107406
YBL062W	Chr2	YBL062W	105308	105688	0	105308_105688
YBL063W	Chr2	KIP1	101886	105221	0	101886_105221
YBL064C	Chr2	PRX1	100371	101156	0	100371_101156
YBL065W	Chr2	YBL065W	99963	100307	0	99963_100307
YBL066C	Chr2	SEF1	96669	100115	0	96669_100115
YBL067C	Chr2	UBP13	93639	95882	0	93639_95882
YBL068W	Chr2	PRS4	92414	93394	0	92414_93394
YBL068W-A	Chr2	YBL068W-A	91794	92030	0	91794_92030
YBL069W	Chr2	AST1	90741	92030	0	90741_92030
YBL070C	Chr2	YBL070C	90605	90925	0	90605_90925
YBL071C	Chr2	YBL071C	90223	90531	0	90223_90531
YBL071C-B	Chr2	YBL071C-B	89458	89556	0	89458_89556
YBL071W-A	Chr2	KTI11	89978	90226	0	89978_90226
YBL072C	Chr2	RPS8A	88523	89125	0	88523_89125
YBL073W	Chr2	YBL073W	87646	87957	0	87646_87957
YBL074C	Chr2	AAR2	86722	87789	0	86722_87789
YBL075C	Chr2	SSA3	84499	86448	0	84499_86448
YBL076C	Chr2	ILS1	81043	84261	0	81043_84261
YBL077W	Chr2	YBL077W	80897	81328	0	80897_81328
YBL078C	Chr2	ATG8	80378	80731	0	80378_80731
YBL079W	Chr2	NUP170	75259	79767	0	75259_79767
YBL080C	Chr2	PET112	73070	74695	0	73070_74695
YBL081W	Chr2	YBL081W	71866	72972	0	71866_72972
YBL082C	Chr2	ALG3	69751	71127	0	69751_71127
YBL083C	Chr2	YBL083C	69713	70138	0	69713_70138
YBL084C	Chr2	CDC27	67169	69445	0	67169_69445
YBL085W	Chr2	BOI1	63876	66818	0	63876_66818
YBL086C	Chr2	YBL086C	61202	62602	0	61202_62602
YBL087C	Chr2	RPL23A	59822	60739	1	59822_60193_60698_60739
YBL088C	Chr2	TEL1	51019	59382	0	51019_59382
YBL089W	Chr2	AVT5	49574	50953	0	49574_50953
YBL090W	Chr2	MRP21	48825	49358	0	48825_49358
YBL091C	Chr2	MAP2	47363	48628	0	47363_48628
YBL091C-A	Chr2	SCS22	46565	47180	1	46565_47058_47147_47180
YBL092W	Chr2	RPL32	45978	46370	0	45978_46370
YBL093C	Chr2	ROX3	44256	44918	0	44256_44918
YBL094C	Chr2	YBL094C	43765	44097	0	43765_44097
YBL095W	Chr2	YBL095W	43277	44089	0	43277_44089
YBL096C	Chr2	YBL096C	43174	43482	0	43174_43482
YBL097W	Chr2	BRN1	40831	43095	0	40831_43095
YBL098W	Chr2	BNA4	39145	40527	0	39145_40527
YBL099W	Chr2	ATP1	37053	38690	0	37053_38690
YBL100C	Chr2	YBL100C	36989	37303	0	36989_37303
YBL100W-A	Chr2	YBL100W-A	29935	31251	0	29935_31251
YBL100W-B	Chr2	YBL100W-B	29935	35248	1	29935_31227_31229_35248
YBL100W-C	Chr2	YBL100W-C	28427	28546	0	28427_28546
YBL101C	Chr2	ECM21	24946	28299	0	24946_28299
YBL102W	Chr2	SFT2	24098	24745	0	24098_24745
YBL103C	Chr2	RTG3	22076	23536	0	22076_23536
YBL104C	Chr2	SEA4	18177	21293	0	18177_21293
YBL105C	Chr2	PKC1	14241	17696	0	14241_17696
YBL106C	Chr2	SRO77	10847	13879	0	10847_13879
YBL107C	Chr2	MIX23	9961	10551	0	9961_10551
YBL107W-A	Chr2	YBL107W-A	9268	9372	0	9268_9372
YBL108C-A	Chr2	PAU9	7605	7733	0	7605_7733
YBL108W	Chr2	YBL108W	8177	8482	0	8177_8482
YBL109W	Chr2	YBL109W	5790	6125	0	5790_6125
YBL111C	Chr2	YBL111C	2907	5009	1	2907_4116_4216_5009
YBL112C	Chr2	YBL112C	2582	2899	0	2582_2899
YBL113C	Chr2	YBL113C	280	2658	0	280_2658
YBL113W-A	Chr2	YBL113W-A	646	1128	0	646_1128
YBR001C	Chr2	NTH2	238941	241283	0	238941_241283
YBR002C	Chr2	RER2	241708	242568	0	241708_242568
YBR003W	Chr2	COQ1	242809	244230	0	242809_244230
YBR004C	Chr2	GPI18	244366	245667	0	244366_245667
YBR005W	Chr2	RCR1	245906	246547	0	245906_246547
YBR006W	Chr2	UGA2	247010	248503	0	247010_248503
YBR007C	Chr2	DSF2	248806	251016	0	248806_251016
YBR008C	Chr2	FLR1	252563	254209	0	252563_254209
YBR009C	Chr2	HHF1	255373	255684	0	255373_255684
YBR010W	Chr2	HHT1	256331	256741	0	256331_256741
YBR011C	Chr2	IPP1	257112	257975	0	257112_257975
YBR012C	Chr2	YBR012C	259147	259566	0	259147_259566
YBR012W-A	Chr2	YBR012W-A	259869	261191	0	259869_261191
YBR012W-B	Chr2	YBR012W-B	259869	265140	1	259869_261173_261175_265140
YBR013C	Chr2	YBR013C	265492	265881	0	265492_265881
YBR014C	Chr2	GRX7	266725	267336	0	266725_267336
YBR015C	Chr2	MNN2	267710	269503	0	267710_269503
YBR016W	Chr2	YBR016W	270247	270633	0	270247_270633
YBR017C	Chr2	KAP104	270947	273703	0	270947_273703
YBR018C	Chr2	GAL7	274427	275527	0	274427_275527
YBR019C	Chr2	GAL10	276253	278352	0	276253_278352
YBR020W	Chr2	GAL1	279021	280607	0	279021_280607
YBR021W	Chr2	FUR4	281443	283344	0	281443_283344
YBR022W	Chr2	POA1	283738	284271	0	283738_284271
YBR023C	Chr2	CHS3	284428	287925	0	284428_287925
YBR024W	Chr2	SCO2	289445	290350	0	289445_290350
YBR025C	Chr2	OLA1	290681	291865	0	290681_291865
YBR026C	Chr2	ETR1	292877	294019	0	292877_294019
YBR027C	Chr2	YBR027C	294024	294356	0	294024_294356
YBR028C	Chr2	YPK3	294425	296002	0	294425_296002
YBR029C	Chr2	CDS1	296369	297742	0	296369_297742
YBR030W	Chr2	RKM3	298292	299950	0	298292_299950
YBR031W	Chr2	RPL4A	300166	301254	0	300166_301254
YBR032W	Chr2	YBR032W	301519	301821	0	301519_301821
YBR033W	Chr2	EDS1	301944	304703	0	301944_304703
YBR034C	Chr2	HMT1	304930	305976	0	304930_305976
YBR035C	Chr2	PDX3	306269	306955	0	306269_306955
YBR036C	Chr2	CSG2	309081	310313	0	309081_310313
YBR037C	Chr2	SCO1	310565	311452	0	310565_311452
YBR038W	Chr2	CHS2	311898	314789	0	311898_314789
YBR039W	Chr2	ATP3	315575	316510	0	315575_316510
YBR040W	Chr2	FIG1	316968	317864	0	316968_317864
YBR041W	Chr2	FAT1	318266	320275	0	318266_320275
YBR042C	Chr2	CST26	320416	321609	0	320416_321609
YBR043C	Chr2	QDR3	321876	323945	0	321876_323945
YBR044C	Chr2	TCM62	324341	326059	0	324341_326059
YBR045C	Chr2	GIP1	328173	330092	0	328173_330092
YBR046C	Chr2	ZTA1	330507	331511	0	330507_331511
YBR047W	Chr2	FMP23	331833	332360	0	331833_332360
YBR048W	Chr2	RPS11B	332831	333812	1	332831_332875_333387_333812
YBR049C	Chr2	REB1	334386	336818	0	334386_336818
YBR050C	Chr2	REG2	337183	338199	0	337183_338199
YBR051W	Chr2	YBR051W	337988	338338	0	337988_338338
YBR052C	Chr2	RFS1	338720	339352	0	338720_339352
YBR053C	Chr2	YBR053C	339675	340751	0	339675_340751
YBR054W	Chr2	YRO2	343101	344135	0	343101_344135
YBR055C	Chr2	PRP6	344602	347301	0	344602_347301
YBR056C-B	Chr2	YBR056C-B	351293	351451	0	351293_351451
YBR056W	Chr2	YBR056W	347879	349384	0	347879_349384
YBR056W-A	Chr2	YBR056W-A	351255	351455	0	351255_351455
YBR057C	Chr2	MUM2	352193	353293	0	352193_353293
YBR058C	Chr2	UBP14	353672	356017	0	353672_356017
YBR058C-A	Chr2	TSC3	356324	356566	0	356324_356566
YBR059C	Chr2	AKL1	356861	360187	0	356861_360187
YBR060C	Chr2	ORC2	360652	362514	0	360652_362514
YBR061C	Chr2	TRM7	364787	365719	0	364787_365719
YBR062C	Chr2	YBR062C	365976	366600	1	365976_366502_366585_366600
YBR063C	Chr2	YBR063C	366970	368184	0	366970_368184
YBR064W	Chr2	YBR064W	367763	368191	0	367763_368191
YBR065C	Chr2	ECM2	368584	369678	0	368584_369678
YBR066C	Chr2	NRG2	370037	370699	0	370037_370699
YBR067C	Chr2	TIP1	372103	372735	0	372103_372735
YBR068C	Chr2	BAP2	373861	375690	0	373861_375690
YBR069C	Chr2	TAT1	376574	378433	0	376574_378433
YBR070C	Chr2	ALG14	379221	379934	0	379221_379934
YBR071W	Chr2	YBR071W	380411	381046	0	380411_381046
YBR072C-A	Chr2	YBR072C-A	382860	383021	0	382860_383021
YBR072W	Chr2	HSP26	382030	382674	0	382030_382674
YBR073W	Chr2	RDH54	383112	385988	0	383112_385988
YBR074W	Chr2	PFF1	386286	389216	0	386286_389216
YBR076C-A	Chr2	YBR076C-A	391351	391617	0	391351_391617
YBR076W	Chr2	ECM8	390227	391291	0	390227_391291
YBR077C	Chr2	SLM4	391805	392293	0	391805_392293
YBR078W	Chr2	ECM33	393123	394742	1	393123_393180_393511_394742
YBR079C	Chr2	RPG1	395383	398277	0	395383_398277
YBR080C	Chr2	SEC18	398614	400890	0	398614_400890
YBR081C	Chr2	SPT7	401253	405251	0	401253_405251
YBR082C	Chr2	UBC4	406628	407169	1	406628_407027_407123_407169
YBR083W	Chr2	TEC1	409169	410629	0	409169_410629
YBR084C-A	Chr2	RPL19A	414186	415261	1	414186_414753_415260_415261
YBR084W	Chr2	MIS1	411054	413981	0	411054_413981
YBR085C-A	Chr2	YBR085C-A	418907	419164	0	418907_419164
YBR085W	Chr2	AAC3	415983	416906	0	415983_416906
YBR086C	Chr2	IST2	420201	423041	0	420201_423041
YBR087W	Chr2	RFC5	423765	424829	0	423765_424829
YBR088C	Chr2	POL30	424990	425766	0	424990_425766
YBR089C-A	Chr2	NHP6B	426190	426489	0	426190_426489
YBR089W	Chr2	YBR089W	425183	425782	0	425183_425782
YBR090C	Chr2	YBR090C	426333	427058	1	426333_426516_426874_427058
YBR091C	Chr2	TIM12	427155	427484	0	427155_427484
YBR092C	Chr2	PHO3	427698	429101	0	427698_429101
YBR093C	Chr2	PHO5	429548	430951	0	429548_430951
YBR094W	Chr2	PBY1	432036	434297	0	432036_434297
YBR095C	Chr2	RXT2	434406	435698	0	434406_435698
YBR096W	Chr2	YBR096W	436021	436713	0	436021_436713
YBR097W	Chr2	VPS15	436951	441315	0	436951_441315
YBR098W	Chr2	MMS4	441515	443590	0	441515_443590
YBR099C	Chr2	YBR099C	442924	443307	0	442924_443307
YBR101C	Chr2	FES1	443821	444693	0	443821_444693
YBR102C	Chr2	EXO84	445062	447323	0	445062_447323
YBR103C-A	Chr2	YBR103C-A	449320	449463	0	449320_449463
YBR103W	Chr2	SIF2	447709	449316	0	447709_449316
YBR104W	Chr2	YMC2	449667	450656	0	449667_450656
YBR105C	Chr2	VID24	450881	451969	0	450881_451969
YBR106W	Chr2	PHO88	452658	453224	0	452658_453224
YBR107C	Chr2	IML3	453793	454530	0	453793_454530
YBR108W	Chr2	AIM3	454822	457665	0	454822_457665
YBR109C	Chr2	CMD1	457919	458362	0	457919_458362
YBR109W-A	Chr2	YBR109W-A	458608	458832	0	458608_458832
YBR110W	Chr2	ALG1	458872	460221	0	458872_460221
YBR111C	Chr2	YSA1	461178	461873	0	461178_461873
YBR111W-A	Chr2	SUS1	462139	462579	2	462139_462209_462290_462429_462500_462579
YBR112C	Chr2	CYC8	462870	465770	0	462870_465770
YBR113W	Chr2	YBR113W	465566	466048	0	465566_466048
YBR114W	Chr2	RAD16	467248	469620	0	467248_469620
YBR115C	Chr2	LYS2	469748	473926	0	469748_473926
YBR116C	Chr2	YBR116C	474199	474726	0	474199_474726
YBR117C	Chr2	TKL2	474392	476437	0	474392_476437
YBR118W	Chr2	TEF2	477671	479047	0	477671_479047
YBR119W	Chr2	MUD1	479338	480323	1	479338_479345_479435_480323
YBR120C	Chr2	CBP6	480435	480923	0	480435_480923
YBR121C	Chr2	GRS1	481364	483367	0	481364_483367
YBR121C-A	Chr2	YBR121C-A	482326	482484	0	482326_482484
YBR122C	Chr2	MRPL36	483970	484503	0	483970_484503
YBR123C	Chr2	TFC1	484742	486691	0	484742_486691
YBR124W	Chr2	YBR124W	486507	486866	0	486507_486866
YBR125C	Chr2	PTC4	487199	488380	0	487199_488380
YBR126C	Chr2	TPS1	488905	490392	0	488905_490392
YBR126W-A	Chr2	YBR126W-A	490850	491056	0	490850_491056
YBR126W-B	Chr2	YBR126W-B	490927	491070	0	490927_491070
YBR127C	Chr2	VMA2	491269	492822	0	491269_492822
YBR128C	Chr2	ATG14	493081	494115	0	493081_494115
YBR129C	Chr2	OPY1	494353	495339	0	494353_495339
YBR130C	Chr2	SHE3	495592	496869	0	495592_496869
YBR131C-A	Chr2	YBR131C-A	497650	497739	0	497650_497739
YBR131W	Chr2	CCZ1	497163	499277	0	497163_499277
YBR132C	Chr2	AGP2	499652	501442	0	499652_501442
YBR133C	Chr2	HSL7	501804	504287	0	501804_504287
YBR134W	Chr2	YBR134W	504243	504644	0	504243_504644
YBR135W	Chr2	CKS1	504854	505306	0	504854_505306
YBR136W	Chr2	MEC1	505668	512774	0	505668_512774
YBR137W	Chr2	YBR137W	513044	513583	0	513044_513583
YBR138C	Chr2	YBR138C	513762	515336	0	513762_515336
YBR139W	Chr2	YBR139W	515664	517190	0	515664_517190
YBR140C	Chr2	IRA1	517350	526628	0	517350_526628
YBR141C	Chr2	BMT2	527025	528038	0	527025_528038
YBR141W-A	Chr2	YBR141W-A	527167	527262	0	527167_527262
YBR142W	Chr2	MAK5	528317	530638	0	528317_530638
YBR143C	Chr2	SUP45	530869	532182	0	530869_532182
YBR144C	Chr2	YBR144C	533235	533549	0	533235_533549
YBR145W	Chr2	ADH5	533762	534817	0	533762_534817
YBR146W	Chr2	MRPS9	535260	536096	0	535260_536096
YBR147W	Chr2	RTC2	536575	537465	0	536575_537465
YBR148W	Chr2	YSW1	537876	539705	0	537876_539705
YBR149W	Chr2	ARA1	539987	541021	0	539987_541021
